qid1,qid2,pred1,pred2,gt1,gt2,q1score,q2score
95,96,img1,img1,img1,img2,0.743,0.604
97,98,img1,img1,img1,img2,0.839,0.7646
99,100,img2,img2,img1,img2,0.4226,0.2295
101,102,img1,img1,img1,img2,0.84,0.693
103,104,img1,img2,img1,img2,0.5293,0.212
105,106,img1,img1,img1,img2,0.8267,0.8057
107,108,img1,img1,img1,img2,0.604,0.596
109,110,img1,img1,img1,img2,0.9087,0.9307
111,112,img1,img1,img1,img2,0.9126,0.921
113,114,img2,img2,img1,img2,0.272,0.1329
115,116,img2,img2,img1,img2,0.4688,0.457
117,118,img1,img1,img1,img2,0.566,0.662
119,120,img1,img1,img1,img2,0.676,0.658
121,122,img2,img2,img1,img2,0.2281,0.269
123,124,img2,img2,img1,img2,0.381,0.2974
125,126,img2,img2,img1,img2,0.045,0.0721
127,128,img1,img1,img1,img2,0.8633,0.842
129,130,img2,img2,img1,img2,0.4805,0.0792
131,132,img2,img2,img1,img2,0.1931,0.12
133,134,img1,img1,img1,img2,0.5737,0.7773
135,136,img2,img2,img1,img2,0.3242,0.304
137,138,img1,img2,img1,img2,0.558,0.03186
139,140,img2,img2,img1,img2,0.05225,0.03284
141,142,img1,img1,img1,img2,0.867,0.8267
143,144,img2,img2,img1,img2,0.291,0.385
145,146,img1,img1,img1,img2,0.566,0.551
147,148,img1,img1,img1,img2,0.543,0.5815
149,150,img1,img2,img1,img2,0.504,0.37
151,152,img1,img1,img1,img2,0.6,0.5776
153,154,img1,img2,img1,img2,0.5234,0.07697
155,156,img1,img2,img1,img2,0.596,0.055
157,158,img2,img2,img1,img2,0.09534,0.01799
159,160,img1,img1,img1,img2,0.915,0.8613
161,162,img2,img2,img1,img2,0.1871,0.1144
163,164,img2,img2,img1,img2,0.4,0.11597
165,166,img1,img2,img1,img2,0.6074,0.03964
167,168,img1,img2,img1,img2,0.997,0.4766
169,170,img1,img1,img1,img2,0.551,0.5156
171,172,img1,img1,img1,img2,0.9185,0.8843
173,174,img1,img2,img1,img2,0.5737,0.1779
175,176,img2,img2,img1,img2,0.3074,0.07477
177,178,img2,img2,img1,img2,0.3381,0.2173
179,180,img1,img2,img1,img2,0.9424,0.0792
181,182,img1,img2,img1,img2,0.9126,0.3923
183,184,img2,img2,img1,img2,0.2598,0.0888
185,186,img1,img1,img1,img2,0.986,0.693
187,188,img1,img1,img1,img2,0.6113,0.6226
189,190,img1,img2,img1,img2,0.876,0.396
191,192,img2,img2,img1,img2,0.4226,0.1009
193,194,img1,img1,img1,img2,0.658,0.596
195,196,img1,img1,img1,img2,0.8154,0.829
197,198,img1,img1,img1,img2,0.964,0.8354
199,200,img1,img2,img1,img2,0.547,0.2847
201,202,img1,img2,img1,img2,0.585,0.3416
203,204,img2,img2,img1,img2,0.2095,0.1192
205,206,img2,img2,img1,img2,0.4805,0.2568
207,208,img1,img1,img1,img2,0.5195,0.57
209,210,img2,img2,img1,img2,0.3774,0.03516
211,212,img1,img1,img1,img2,0.699,0.662
213,214,img1,img1,img1,img2,0.937,0.8613
215,216,img2,img2,img1,img2,0.1384,0.07104
217,218,img1,img2,img1,img2,0.589,0.3208
219,220,img1,img1,img1,img2,0.8154,0.8154
221,222,img2,img2,img1,img2,0.2018,0.11597
223,224,img2,img2,img1,img2,0.3174,0.251
225,226,img1,img2,img1,img2,0.5566,0.4844
227,228,img1,img1,img1,img2,0.626,0.5156
229,230,img1,img1,img1,img2,0.728,0.7188
231,232,img1,img1,img1,img2,0.9995,0.998
233,234,img2,img2,img1,img2,0.4226,0.4377
235,236,img1,img1,img1,img2,0.696,0.655
237,238,img2,img2,img1,img2,0.01065,0.00215
239,240,img1,img1,img1,img2,0.9575,0.9746
241,242,img1,img2,img1,img2,0.6074,0.3008
243,244,img1,img1,img1,img2,0.865,0.902
245,246,img2,img1,img1,img2,0.3557,0.5234
247,248,img1,img1,img1,img2,0.6567,0.725
249,250,img1,img1,img1,img2,0.6113,0.5547
251,252,img1,img1,img1,img2,0.637,0.5234
253,254,img2,img2,img1,img2,0.04337,0.00956
255,256,img1,img2,img1,img2,0.7983,0.5
257,258,img2,img2,img1,img2,0.4922,0.3887
259,260,img1,img2,img1,img2,0.84,0.3174
261,262,img2,img2,img1,img2,0.02676,0.05145
263,264,img1,img2,img1,img2,0.7773,0.4263
265,266,img1,img1,img1,img2,0.7773,0.867
267,268,img2,img2,img1,img2,0.4263,0.4148
269,270,img1,img1,img1,img2,0.899,0.879
